Pair,D,I,Expansion,Stability,Unfilling,p_D,p_I,p_Expansion,p_Stability,p_Unfilling,,,
z5_z12,0.548301909,0.714535793,0.394191555,0.605808445,0.004860254,1,1,1,1,0.01980198,,,
z5_z13,0.028525681,0.092233431,0.864448467,0.135551533,0.908164704,1,1,1,1,1,,,
z5_z14,0.051785287,0.109190617,0.895348915,0.104651085,0.061820113,1,1,1,1,0.99009901,,,
z5_z6,0.108067708,0.170682787,0.726945413,0.273054587,0.023545662,1,1,1,1,0.821782178,,,
z5_z7,0.063281836,0.125544671,0.92245561,0.07754439,0.076463522,1,1,1,1,0.97029703,,,
z5_z8,0.469127799,0.67080476,0.564893292,0.435106708,0.009629469,1,1,1,1,0.415841584,,,
z5_z9,0.047592353,0.100107395,0.873005909,0.126994091,0.071029392,1,1,1,1,0.96039604,,,
z6_z10,0.218488929,0.346826692,0.033898487,0.966101513,0.174019207,0.96039604,0.97029703,0.841584158,0.841584158,1,,,
z6_z11,0.74549429,0.829848312,0.03082137,0.96917863,0.178918485,0.95049505,0.98019802,0.920792079,0.920792079,1,,,
z6_z12,0.081852907,0.125611428,0.09670736,0.90329264,0.467069436,1,1,1,1,1,,,
z6_z13,0.039635342,0.190428007,0,1,0.611001731,1,1,0.316831683,0.316831683,1,,,
z6_z14,0.239559296,0.338927072,0.087679718,0.912320282,0.043074458,1,1,1,1,0.95049505,,,
z6_z7,0.134141306,0.275019892,0.022444776,0.977555224,0.120212575,1,1,0.772277228,0.772277228,1,,,
z6_z8,0.249824643,0.398678771,0.056766432,0.943233568,0.03944304,1,1,1,1,0.99009901,,,
z6_z9,0.647843638,0.772486851,0.054137058,0.945862942,0.051252056,0.920792079,0.930693069,0.99009901,0.99009901,0.772277228,,,
z7_z10,0.125050405,0.219520471,0.159409635,0.840590365,0.220876232,1,1,1,1,1,,,
z7_z11,0.063494767,0.1329172,0.227444923,0.772555077,0.337032062,1,1,1,1,1,,,
z7_z12,0.048056496,0.089289431,0.324551671,0.675448329,0.744432941,1,1,1,1,1,,,
z7_z13,0.159029275,0.381827015,0,1,0.534938999,1,1,0.069306931,0.069306931,1,,,
z7_z14,0.369847396,0.541111944,0.07735003,0.92264997,0.007631662,0.881188119,0.930693069,1,1,0.287128713,,,
z7_z8,0.137933044,0.293706249,0.239826315,0.760173685,0.060464268,1,1,1,1,1,,,
z7_z9,0.059272432,0.16759079,0.286363111,0.713636889,0.048200028,1,1,1,1,0.930693069,,,
z8_z10,0.235185149,0.359895858,0.031121762,0.968878238,0.222233522,1,1,0.900990099,0.900990099,1,,,
z8_z11,0.435842949,0.57297553,0.001882403,0.998117597,0.129790339,0.99009901,1,0.089108911,0.089108911,1,,,
z8_z12,0.374422683,0.598675553,0.005320079,0.994679921,0.212926368,0.930693069,0.930693069,0.455445545,0.455445545,1,,,
z8_z13,0.024900312,0.128573279,0,1,0.754863776,1,1,0.227722772,0.227722772,1,,,
z8_z14,0.160350683,0.246771039,0.164512671,0.835487329,0.128246449,1,1,1,1,1,,,
